,C,Gamma,Accuracy,Std,Time_train
64,2154.4346900318865,0.07742636826811278,0.6606060606060606,0.2877352114053144,0.1429293155670166
65,2154.4346900318865,12.915496650148826,0.27878787878787875,0.2723903642938695,0.1669013500213623
66,2154.4346900318865,2154.4346900318865,0.17575757575757575,0.20354976513632317,0.14994239807128906
67,2154.4346900318865,359381.36638046405,0.17575757575757575,0.20354976513632317,0.1429893970489502
68,2154.4346900318865,59948425.03189421,0.17575757575757575,0.20354976513632317,0.1448965072631836
69,2154.4346900318865,10000000000.0,0.17575757575757575,0.20354976513632317,0.15354704856872559
70,359381.36638046405,1e-10,0.6787878787878788,0.12970263369110727,0.10496115684509277
71,359381.36638046405,1.6681005372000592e-08,0.9818181818181819,0.04110503020075919,0.12090897560119629
72,359381.36638046405,2.782559402207126e-06,0.9454545454545454,0.07422696190252055,0.14491724967956543
73,359381.36638046405,0.0004641588833612782,0.9515151515151515,0.057495957457606876,0.13093066215515137
74,359381.36638046405,0.07742636826811278,0.6606060606060606,0.2877352114053144,0.1299269199371338
75,359381.36638046405,12.915496650148826,0.27878787878787875,0.2723903642938695,0.1419384479522705
76,359381.36638046405,2154.4346900318865,0.17575757575757575,0.20354976513632317,0.14192795753479004
77,359381.36638046405,359381.36638046405,0.17575757575757575,0.20354976513632317,0.136946439743042
78,359381.36638046405,59948425.03189421,0.17575757575757575,0.20354976513632317,0.13693761825561523
79,359381.36638046405,10000000000.0,0.17575757575757575,0.20354976513632317,0.15844225883483887
80,59948425.03189421,1e-10,0.6787878787878788,0.12970263369110727,0.10793924331665039
81,59948425.03189421,1.6681005372000592e-08,0.9454545454545454,0.07422696190252055,0.16591477394104004
82,59948425.03189421,2.782559402207126e-06,0.9454545454545454,0.07422696190252055,0.14092040061950684
83,59948425.03189421,0.0004641588833612782,0.9515151515151515,0.057495957457606876,0.158935546875
84,59948425.03189421,0.07742636826811278,0.6606060606060606,0.2877352114053144,0.14092659950256348
85,59948425.03189421,12.915496650148826,0.27878787878787875,0.2723903642938695,0.16891264915466309
86,59948425.03189421,2154.4346900318865,0.17575757575757575,0.20354976513632317,0.15591955184936523
87,59948425.03189421,359381.36638046405,0.17575757575757575,0.20354976513632317,0.15791678428649902
88,59948425.03189421,59948425.03189421,0.17575757575757575,0.20354976513632317,0.1493699550628662
89,59948425.03189421,10000000000.0,0.17575757575757575,0.20354976513632317,0.15793561935424805
90,10000000000.0,1e-10,0.6787878787878788,0.12970263369110727,0.1244354248046875
91,10000000000.0,1.6681005372000592e-08,0.9454545454545454,0.07422696190252055,0.1519334316253662
92,10000000000.0,2.782559402207126e-06,0.9454545454545454,0.07422696190252055,0.1528923511505127
93,10000000000.0,0.0004641588833612782,0.9515151515151515,0.057495957457606876,0.13994383811950684
