,C,Gamma,Degree,Accuracy,Std
248,0.07742636826811278,1e-10,5.0,0.9575757575757577,0.042854956435548326
249,0.07742636826811278,1e-10,6.0,0.890909090909091,0.12151477367129347
250,12.915496650148826,1.0,2.0,0.8303030303030304,0.18719327529067276
251,12.915496650148826,1.0,3.0,0.6606060606060606,0.24029366789816978
252,12.915496650148826,1.0,4.0,0.4848484848484848,0.2622219109428356
253,12.915496650148826,1.0,5.0,0.37575757575757573,0.25627120620443605
254,12.915496650148826,1.0,6.0,0.3333333333333333,0.23094010767585033
255,12.915496650148826,0.0774263682681127,2.0,0.8303030303030304,0.18719327529067276
256,12.915496650148826,0.0774263682681127,3.0,0.6606060606060606,0.24029366789816978
257,12.915496650148826,0.0774263682681127,4.0,0.4848484848484848,0.2622219109428356
258,12.915496650148826,0.0774263682681127,5.0,0.37575757575757573,0.25627120620443605
259,12.915496650148826,0.0774263682681127,6.0,0.3333333333333333,0.23094010767585033
260,12.915496650148826,0.005994842503189409,2.0,0.8303030303030302,0.16663911618021235
261,12.915496650148826,0.005994842503189409,3.0,0.09696969696969697,0.043703651823805936
262,12.915496650148826,0.005994842503189409,4.0,0.07272727272727272,0.019165319152535634
263,12.915496650148826,0.005994842503189409,5.0,0.06666666666666667,0.0
264,12.915496650148826,0.005994842503189409,6.0,0.06666666666666667,0.0
265,12.915496650148826,0.00046415888336127773,2.0,0.30909090909090914,0.1484539238050411
266,12.915496650148826,0.00046415888336127773,3.0,0.09696969696969697,0.043703651823805936
267,12.915496650148826,0.00046415888336127773,4.0,0.07272727272727272,0.019165319152535634
268,12.915496650148826,0.00046415888336127773,5.0,0.06666666666666667,0.0
269,12.915496650148826,0.00046415888336127773,6.0,0.06666666666666667,0.0
270,12.915496650148826,3.5938136638046256e-05,2.0,0.30909090909090914,0.1484539238050411
271,12.915496650148826,3.5938136638046256e-05,3.0,0.09696969696969697,0.043703651823805936
272,12.915496650148826,3.5938136638046256e-05,4.0,0.07272727272727272,0.019165319152535634
273,12.915496650148826,3.5938136638046256e-05,5.0,0.06666666666666667,0.0
274,12.915496650148826,3.5938136638046256e-05,6.0,0.07272727272727272,0.019165319152535634
275,12.915496650148826,2.782559402207126e-06,2.0,0.30909090909090914,0.1484539238050411
276,12.915496650148826,2.782559402207126e-06,3.0,0.09696969696969697,0.043703651823805936
277,12.915496650148826,2.782559402207126e-06,4.0,0.07272727272727272,0.019165319152535634
278,12.915496650148826,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
279,12.915496650148826,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
280,12.915496650148826,2.1544346900318822e-07,2.0,0.30909090909090914,0.1484539238050411
281,12.915496650148826,2.1544346900318822e-07,3.0,0.09696969696969697,0.043703651823805936
282,12.915496650148826,2.1544346900318822e-07,4.0,0.9090909090909091,0.09958591954639384
283,12.915496650148826,2.1544346900318822e-07,5.0,0.9575757575757577,0.042854956435548326
284,12.915496650148826,2.1544346900318822e-07,6.0,0.890909090909091,0.12151477367129347
285,12.915496650148826,1.6681005372000556e-08,2.0,0.30909090909090914,0.1484539238050411
286,12.915496650148826,1.6681005372000556e-08,3.0,0.8666666666666668,0.028426762180748053
287,12.915496650148826,1.6681005372000556e-08,4.0,0.9090909090909091,0.09958591954639384
288,12.915496650148826,1.6681005372000556e-08,5.0,0.9575757575757577,0.042854956435548326
289,12.915496650148826,1.6681005372000556e-08,6.0,0.890909090909091,0.12151477367129347
290,12.915496650148826,1.2915496650148826e-09,2.0,0.3151515151515152,0.13952562949359196
291,12.915496650148826,1.2915496650148826e-09,3.0,0.9818181818181819,0.029690784761008216
292,12.915496650148826,1.2915496650148826e-09,4.0,0.9090909090909091,0.09958591954639384
293,12.915496650148826,1.2915496650148826e-09,5.0,0.9575757575757577,0.042854956435548326
294,12.915496650148826,1.2915496650148826e-09,6.0,0.890909090909091,0.12151477367129347
