,min_impurity,max_depth,min_samples_split,Accuracy,Std
82,1.6681005372000592e-08,34.0,6.0,0.6787878787878787,0.24588439727394903
83,1.6681005372000592e-08,34.0,7.0,0.6727272727272727,0.2565577028911118
84,1.6681005372000592e-08,45.0,2.0,0.6484848484848486,0.260676523243716
85,1.6681005372000592e-08,45.0,3.0,0.6242424242424243,0.27746722769114174
86,1.6681005372000592e-08,45.0,4.0,0.6545454545454545,0.26180134626006274
87,1.6681005372000592e-08,45.0,5.0,0.6727272727272727,0.24855874732618033
88,1.6681005372000592e-08,45.0,6.0,0.6787878787878787,0.24588439727394903
89,1.6681005372000592e-08,45.0,7.0,0.6727272727272727,0.2565577028911118
90,1.6681005372000592e-08,56.0,2.0,0.6484848484848486,0.260676523243716
91,1.6681005372000592e-08,56.0,3.0,0.6242424242424243,0.27746722769114174
92,1.6681005372000592e-08,56.0,4.0,0.6545454545454545,0.26180134626006274
93,1.6681005372000592e-08,56.0,5.0,0.6727272727272727,0.24855874732618033
94,1.6681005372000592e-08,56.0,6.0,0.6787878787878787,0.24588439727394903
95,1.6681005372000592e-08,56.0,7.0,0.6727272727272727,0.2565577028911118
96,1.6681005372000592e-08,67.0,2.0,0.6484848484848486,0.260676523243716
97,1.6681005372000592e-08,67.0,3.0,0.6242424242424243,0.27746722769114174
98,1.6681005372000592e-08,67.0,4.0,0.6545454545454545,0.26180134626006274
99,1.6681005372000592e-08,67.0,5.0,0.6727272727272727,0.24855874732618033
100,1.6681005372000592e-08,67.0,6.0,0.6787878787878787,0.24588439727394903
101,1.6681005372000592e-08,67.0,7.0,0.6727272727272727,0.2565577028911118
102,1.6681005372000592e-08,78.0,2.0,0.6484848484848486,0.260676523243716
103,1.6681005372000592e-08,78.0,3.0,0.6242424242424243,0.27746722769114174
104,1.6681005372000592e-08,78.0,4.0,0.6545454545454545,0.26180134626006274
105,1.6681005372000592e-08,78.0,5.0,0.6727272727272727,0.24855874732618033
106,1.6681005372000592e-08,78.0,6.0,0.6787878787878787,0.24588439727394903
107,1.6681005372000592e-08,78.0,7.0,0.6727272727272727,0.2565577028911118
108,1.6681005372000592e-08,89.0,2.0,0.6484848484848486,0.260676523243716
109,1.6681005372000592e-08,89.0,3.0,0.6242424242424243,0.27746722769114174
110,1.6681005372000592e-08,89.0,4.0,0.6545454545454545,0.26180134626006274
111,1.6681005372000592e-08,89.0,5.0,0.6727272727272727,0.24855874732618033
112,1.6681005372000592e-08,89.0,6.0,0.6787878787878787,0.24588439727394903
113,1.6681005372000592e-08,89.0,7.0,0.6727272727272727,0.2565577028911118
114,1.6681005372000592e-08,100.0,2.0,0.6484848484848486,0.260676523243716
115,1.6681005372000592e-08,100.0,3.0,0.6242424242424243,0.27746722769114174
116,1.6681005372000592e-08,100.0,4.0,0.6545454545454545,0.26180134626006274
117,1.6681005372000592e-08,100.0,5.0,0.6727272727272727,0.24855874732618033
118,1.6681005372000592e-08,100.0,6.0,0.6787878787878787,0.24588439727394903
119,1.6681005372000592e-08,100.0,7.0,0.6727272727272727,0.2565577028911118
120,2.782559402207126e-06,1.0,2.0,0.11515151515151514,0.029690784761008216
121,2.782559402207126e-06,1.0,3.0,0.11515151515151514,0.029690784761008216
122,2.782559402207126e-06,1.0,4.0,0.11515151515151514,0.029690784761008216
123,2.782559402207126e-06,1.0,5.0,0.11515151515151514,0.029690784761008216
124,2.782559402207126e-06,1.0,6.0,0.11515151515151514,0.029690784761008216
125,2.782559402207126e-06,1.0,7.0,0.11515151515151514,0.029690784761008216
126,2.782559402207126e-06,12.0,2.0,0.6363636363636364,0.2687248397260044
127,2.782559402207126e-06,12.0,3.0,0.6242424242424243,0.27746722769114174
128,2.782559402207126e-06,12.0,4.0,0.6606060606060606,0.25968830649246727
129,2.782559402207126e-06,12.0,5.0,0.6727272727272727,0.24855874732618033
130,2.782559402207126e-06,12.0,6.0,0.6787878787878787,0.24588439727394903
131,2.782559402207126e-06,12.0,7.0,0.6727272727272727,0.2565577028911118
132,2.782559402207126e-06,23.0,2.0,0.6484848484848486,0.260676523243716
133,2.782559402207126e-06,23.0,3.0,0.6242424242424243,0.27746722769114174
